countryname;A2005;A2006;A2007;A2008;A2009;
Equatorial Guinea;603648;621517;639618;658025;676851;
Eritrea;4854066;5035036;5209846;5382163;5557889;
Estonia;1354775;1346810;1340680;1337090;1334515;
Ethiopia;76167240;78290649;80440708;82621190;84838032;
Faeroe Islands;49157;49414;49554;49601;49600;
Fiji;822484;828060;835392;843851;852479;
Finland;5246096;5266268;5288720;5313399;5338871;
France;63176246;63617975;64012572;64371099;64702921;
French Polynesia;254884;257731;260361;262877;265412;
Gabon;1379465;1412907;1447388;1482843;1519155;
Gambia The;1436549;1482324;1529406;1577984;1628332;
Georgia;4361400;4398000;4388400;4383800;4410900;
Germany;82469422;82376451;82266372;82110097;81902307;
Ghana;21384034;21947779;22525659;23110139;23691533;
Greece;11092913;11127947;11163002;11186439;11187085;
Greenland;56935;56774;56555;56328;56323;
Grenada;102951;103260;103586;103932;104296;
Guam;158401;158429;158331;158310;158621;
Guatemala;12678919;12995374;13317931;13648307;13988988;
